"Nombre","Muerte","Importancia"
"Amy","S1","Recurrente"
"Jacqui","S1","Recurrente"
"Jim","S1","Recurrente"
"Ed","S1","Recurrente"
"Shane","S2","Principal"
"Dale","S2","Principal"
"Patricia","S2","Recurrente"
"Jimmy","S2","Recurrente"
"Randall","S2","Recurrente"
"Andrea","S3","Principal"
"Merle","S3","Principal"
"Lory","S3","Principal"
"Milton","S3","Recurrente"
"Axel","S3","Recurrente"
"Oscar","S3","Recurrente"
"Allen","S3","Recurrente"
"Ben","S3","Recurrente"
"T-Dog","S3","Recurrente"
"Andrew","S3","Recurrente"
"Tim","S3","Recurrente"
"Harley","S3","Recurrente"
"Paul","S3","Recurrente"
"Hershel","S4","Principal"
"Philip ","S4","Principal"
"Lizzie","S4","Recurrente"
"Karen","S4","Recurrente"
"Mika","S4","Recurrente"
"Luke","S4","Recurrente"
"Henry","S4","Recurrente"
"Clara","S4","Recurrente"
"Caleb","S4","Recurrente"
"Molly","S4","Recurrente"
"Alisha","S4","Recurrente"
"Joe","S4","Recurrente"
"Harley","S4","Recurrente"
"Tony","S4","Recurrente"
"Patrick","S4","Recurrente"
"David","S4","Recurrente"
"Martinez","S4","Recurrente"
"Len ","S4","Recurrente"
"Dan","S4","Recurrente"
"Billy","S4","Recurrente"
"Mitch","S4","Recurrente"
"Megan","S4","Recurrente"
"Noris","S4","Recurrente"
"Lilly","S4","Recurrente"
"Tyreese","S5","Principal"
"Bob","S5","Principal"
"Gareth","S5","Principal"
"Noah","S5","Recurrente"
"Pete","S5","Recurrente"
"Martinez","S5","Recurrente"
"O'Donell","S5","Recurrente"
"Reg","S5","Recurrente"
"Theresa","S5","Recurrente"
"Dawn","S5","Recurrente"
"Aiden","S5","Recurrente"
"Mary","S5","Recurrente"
"Abraham","S6","Principal"
"Jessie","S6","Principal"
"Denise","S6","Recurrente"
"Ron","S6","Recurrente"
"Sam","S6","Recurrente"
"Owen","S6","Recurrente"
"Nicholas","S6","Recurrente"
"David","S6","Recurrente"
"Edward","S6","Recurrente"
"Erin","S6","Recurrente"
"Sasha","S7","Principal"
"Spencer","S7","Principal"
"Glenn","S7","Principal"
"Richard","S7","Recurrente"
"Benjamin","S7","Recurrente"
"Joseph","S7","Recurrente"
"David","S7","Recurrente"
"Roy","S7","Recurrente"
"Emmett","S7","Recurrente"
"Olivia","S7","Recurrente"
"Kent","S7","Recurrente"
"Simon","S8","Principal"
"Carl","S8","Principal"
"Jared","S8","Recurrente"
"Tobin","S8","Recurrente"
"Gary","S8","Recurrente"
"Gavin","S8","Recurrente"
"Neil","S8","Recurrente"
"Dean","S8","Recurrente"
"Katy","S8","Recurrente"
"Tamiel","S8","Recurrente"
"Alvaro","S8","Recurrente"
"Daniel","S8","Recurrente"
"Brion","S8","Recurrente"
"Bruce","S8","Recurrente"
"Eric","S8","Recurrente"
"Francine","S8","Recurrente"
"Kevin","S8","Recurrente"
"Harlan","S8","Recurrente"
"Freddie","S8","Recurrente"
"Morales","S8","Recurrente"
"Andy","S8","Recurrente"
"Natania","S8","Recurrente"
"Wesley","S8","Recurrente"
"Tara","S9","Principal"
"Enid","S9","Principal"
"Jesus","S9","Principal"
"Gregory","S9","Principal"
"Henry","S9","Recurrente"
"D.J","S9","Recurrente"
"Regina","S9","Recurrente"
"Tammy","S9","Recurrente"
"Adeline","S9","Recurrente"
"Jed","S9","Recurrente"
"Kathy","S9","Recurrente"
"Aarat","S9","Recurrente"
"Justin","S9","Recurrente"
"Norris","S9","Recurrente"
"Rodney","S9","Recurrente"
"Rasmus","S9","Recurrente"
"Ozzy","S9","Recurrente"
"Frankie","S9","Recurrente"
"Alpha","S10","Principal"
"Beta","S10","Principal"
"Siddiq","S10","Principal"
"Mary","S10","Recurrente"
"Dante","S10","Recurrente"
"Laura","S10","Recurrente"
"Earl","S10","Recurrente"
"Oscar","S10","Recurrente"
"Margo","S10","Recurrente"
"Brandon","S10","Recurrente"
"Alfred","S10","Recurrente"
"Frances","S10","Recurrente"
"Cheryl","S10","Recurrente"
"Beatrice","S10","Recurrente"
"Rosita","S11","Principal"
"Lance","S11","Principal"
"Leah","S11","Principal"
"Alden","S11","Principal"
"Sebastian","S11","Recurrente"
"Frost","S11","Recurrente"
"Agatha","S11","Recurrente"
"Fisher","S11","Recurrente"
"Marcus","S11","Recurrente"
"Gage","S11","Recurrente"
"Cole","S11","Recurrente"
"Duncan","S11","Recurrente"
"Ira","S11","Recurrente"
"Austin","S11","Recurrente"
"Jenson","S11","Recurrente"
"Roman","S11","Recurrente"
"Roy","S11","Recurrente"
"Ancheta","S11","Recurrente"
"Boone","S11","Recurrente"
"Pope","S11","Recurrente"
"Brandon","S11","Recurrente"
"Mancea","S11","Recurrente"
"Deaver","S11","Recurrente"
"Bossie","S11","Recurrente"
"Michael","S11","Recurrente"
"Paul","S11","Recurrente"
"Tyler","S11","Recurrente"
"Toby","S11","Recurrente"
"Marco","S11","Recurrente"
"Green","S11","Recurrente"
"Jake","S11","Recurrente"
"Luke","S11","Recurrente"
"Jules","S11","Recurrente"
