Season,Episode,Episode(overall),Title,Directed by,Written by,Original Air date,US viewers(millions)
1,1,1,Days Gone Bye,Frank Darabont,Teleplay by: Frank Darabont,10/31/2010,5.35
1,2,2,Guts,Michelle MacLaren,Frank Darabont,11/7/2010,4.71
1,3,3,Tell It to the Frogs,Gwyneth Horder-Payton,Story by: Charles H. Eglee & Jack LoGiudice & Teleplay by: Charles H. Eglee & Jack LoGiudice and Frank Darabont,11/14/2010,5.07
1,4,4,Vatos,Johan Renck,Robert Kirkman,11/21/2010,4.75
1,5,5,Wildfire,Ernest Dickerson,Glen Mazzara,11/28/2010,5.56
1,6,6,TS-19,Guy Ferland,Adam Fierro and Frank Darabont,12/5/2010,5.97
2,1,7,What Lies Ahead,Ernest Dickerson & Gwyneth Horder-Payton,Ardeth Bey and Robert Kirkman,10/16/2011,7.26
2,2,8,Bloodletting,Ernest Dickerson,Glen Mazzara,10/23/2011,6.7
2,3,9,Save the Last One,Phil Abraham,Scott M. Gimple,10/30/2011,6.1
2,4,10,Cherokee Rose,Billy Gierhart,Evan Reilly,11/6/2011,6.29
2,5,11,Chupacabra,Guy Ferland,David Leslie Johnson,11/13/2011,6.12
2,6,12,Secrets,David Boyd,Angela Kang,11/20/2011,6.08
2,7,13,Pretty Much Dead Already,Michelle MacLaren,Scott M. Gimple,11/27/2011,6.62
2,8,14,Nebraska,Clark Johnson,Evan Reilly,2/12/2012,8.1
2,9,15,Triggerfinger,Billy Gierhart,David Leslie Johnson,2/19/2012,6.89
2,10,16,18 Miles Out,Ernest Dickerson,Scott M. Gimple & Glen Mazzara,2/26/2012,7.04
2,11,17,Judge Jury Executioner,Greg Nicotero,Angela Kang,3/4/2012,6.77
2,12,18,Better Angels,Guy Ferland,Evan Reilly & Glen Mazzara,3/11/2012,6.89
2,13,19,Beside the Dying Fire,Ernest Dickerson,Robert Kirkman & Glen Mazzara,3/18/2012,8.99
3,1,20,Seed,Ernest Dickerson,Glen Mazzara,10/14/2012,10.87
3,2,21,Sick,Billy Gierhart,Nichole Beattie,10/21/2012,9.55
3,3,22,Walk with Me,Guy Ferland,Evan Reilly,10/28/2012,10.51
3,4,23,Killer Within,Guy Ferland,Sang Kyu Kim,11/4/2012,9.27
3,5,24,Say the Word,Greg Nicotero,Angela Kang,11/11/2012,10.37
3,6,25,Hounded,Dan Attias,Scott M. Gimple,11/18/2012,9.21
3,7,26,When the Dead Come Knocking,Dan Sackheim,Frank Renzulli,11/25/2012,10.43
3,8,27,Made to Suffer,Billy Gierhart,Robert Kirkman,12/2/2012,10.48
3,9,28,The Suicide King,Lesli Linka Glatter,Evan Reilly,2/10/2013,12.26
3,10,29,Home,Seith Mann,Nichole Beattie,2/17/2013,11.05
3,11,30,I Ain't a Judas,Greg Nicotero,Angela Kang,2/24/2013,11.01
3,12,31,Clear,Tricia Brock,Scott M. Gimple,3/3/2013,11.3
3,13,32,Arrow on the Doorpost,David Boyd,Ryan C. Coleman,3/10/2013,11.46
3,14,33,Prey,Stefan Schwartz,Glen Mazzara & Evan Reilly,3/17/2013,10.84
3,15,34,This Sorrowful Life,Greg Nicotero,Scott M. Gimple,3/24/2013,10.99
3,16,35,Welcome to the Tombs,Ernest Dickerson,Glen Mazzara,3/31/2013,12.42
4,1,36,30 Days Without an Accident,Greg Nicotero,Scott M. Gimple,10/13/2013,16.11
4,2,37,Infected,Guy Ferland,Angela Kang,10/20/2013,13.95
4,3,38,Isolation,Dan Sackheim,Robert Kirkman,10/27/2013,12.92
4,4,39,Indifference,Tricia Brock,Matthew Negrete,11/3/2013,13.31
4,5,40,Internment,David Boyd,Channing Powell,11/10/2013,12.2
4,6,41,Live Bait,Michael Uppendahl,Nichole Beattie,11/17/2013,12
4,7,42,Dead Weight,Jeremy Podeswa,Curtis Gwinn,11/24/2013,11.29
4,8,43,Too Far Gone,Ernest Dickerson,Seth Hoffman,12/1/2013,12.05
4,9,44,After,Greg Nicotero,Robert Kirkman,2/9/2014,15.76
4,10,45,Inmates,Tricia Brock,Matthew Negrete & Channing Powell,2/16/2014,13.34
4,11,46,Claimed,Seith Mann,Nichole Beattie & Seth Hoffman,2/23/2014,13.12
4,12,47,Still,Julius Ramsay,Angela Kang,3/2/2014,12.61
4,13,48,Alone,Ernest Dickerson,Curtis Gwinn,3/9/2014,12.65
4,14,49,The Grove,Michael E. Satrazemis,Scott M. Gimple,3/16/2014,12.87
4,15,50,Us,Greg Nicotero,Nichole Beattie & Seth Hoffman,3/23/2014,13.47
