"name,""Actor"",""Gender"",""Hair"",""Age"",""Occupation"",""Family"",""First Appearance"",""Last Appearance"",""Cause of Death"",""Cause of Death"",""Status"",""Series Lifespan"",""Ethnicity"""
"Judith Grimes,""Adelaide & Eliza Cornwell Loudyn & Leighton Case [1]Tinsley & Anniston Price  Eleora & Elisea DiFranco Sophia & Delia Oeland Charlotte & Clara Ward  Kiley & Jaelyn Behun   Chloe & Sophia Garcia-Frizzi Kinsley Isla Dillon  Chloe Garcia-Frizzi  Cailey Fleming "",""Female"",""Brown"",""One week 8 months 9 months/11 months 1 3 9 "",""Student at the Alexandria Safe-Zone "",""Lori Grimes - Mother Shane Walsh - Father[2] Rick Grimes - Adoptive FatherCarl Grimes - Half-Brother Michonne - Adoptive MotherRick Grimes Jr. - Adoptive BrotherJean - Paternal Great-GrandmotherEvie - Possible Biological or Adoptive Aunt - Maternal Grandmother "",""""""Killer Within"""""","""",""30 Days Without An Accident"","""",""Alive"",""	    """"Killer Within"""" to Present"",""Caucasian-American"""
"Rick Grimes Jr.,""Antony Azor"",""Male"",""Brown"",""5"","""",""Rick Grimes - FatherMichonne - MotherJudith Grimes - Adoptive SisterCarl Grimes - Half-Brother Andre Anthony - Half-Brother Evie - Possible Biological Aunt"",""""""Who Are You Now?"""""","""",""30 Days Without An Accident"","""",""Alive"",""	    """"Who Are You Now?"""" to Present"",""African/Caucasian-American"""
"Rick Grimes,""Andrew Lincoln"",""Male"",""Dark brown "",""Mid to Late 40s"",""King County Sheriff's Deputy Former Leader of the Atlanta Survivor Group Former Constable for the Alexandria Safe-Zone Former Leader of the Alexandria Safe-Zone Former Co-Leader of the Militia "",""Lori Grimes - Former Wife Carl Grimes - Son Judith Grimes - Adopted Daughter[1]Rick Grimes Jr. - SonMichonne - Former GirlfriendEvie - Sister or Sister-In-Law - Male Cousin - Father  - Grandfather   - Mother-In-Law  - Mother "",""""""Days Gone Bye"""""",""""""What Comes After"""" "",""30 Days Without An Accident"","""",""Unknown"",""	    """"Days Gone Bye"""" to """"What Comes After"""" "",""Caucasian-American"""
"Carl Grimes,""Chandler Riggs Unknown "",""Male"",""Brown"",""12 13 14 "",""Middle school student Member of the Militia "",""Rick Grimes - FatherLori Grimes - Mother Judith Grimes - Half-Sister[1]Rick Grimes Jr. - Half-BrotherEvie - Aunt - Paternal Grandmother  - Paternal Grandfather  - Paternal Great-Grandfather   - Maternal Grandmother  - Paternal Male CousinEnid - Former Girlfriend"",""""""Days Gone Bye"""""",""""""What Comes After"""" "",""30 Days Without An Accident "",""Bitten on the rib by a walker. Self-inflicted gunshot to the head to prevent reanimation. "",""Dead"",""	    """"Days Gone Bye"""" to """"Honor"""""",""Caucasian-American"""
"Lori Grimes,""Sarah Wayne Callies"",""Female"",""Brown"",""Early to Mid 30s"",""Housewife "",""Rick Grimes - Former HusbandCarl Grimes - Son Judith Grimes - DaughterShane Walsh - Ex-Boyfriend Evie - Sister or Sister-In-Law - Mother  - Father-In-Law  - Grandfather-In-Law  - Male Cousin-In-Law - Mother-In-Law "",""""""Days Gone Bye"""""",""""""What Comes After"""" "",""A"",""Died from blood loss during a caesarean section by Maggie Rhee in order to deliver her baby, Judith. Shot in the head by Carl Grimes. "",""Dead"",""	    """"Days Gone Bye"""" to """"Killer Within"""""",""Caucasian-American"""
"Lambert Kendal,""Jim R. Coleman"",""Male"",""Black"",""Mid to late 40s"",""Former member of the U.S. Military Sheriff's Deputy "",""Unknown"",""""""Days Gone Bye"""""",""""""What Comes After"""" "",""A"","""",""Unknown"",""	    """"Days Gone Bye"""" to """"Bloodletting"""" "",""African-American"""
"Shane Walsh,""Jon Bernthal"",""Male"",""Black"",""Mid to Late 30s"",""King County Sheriff's Deputy Former Leader of the Atlanta Group Head of Gun Training "",""Judith Grimes - Daughter[1] Jean - GrandmotherLori Grimes - Ex-Girlfriend Patty Taylor - Ex-Girlfriend "",""""""Days Gone Bye"""""",""""""What Comes After"""" "",""A"",""Stabbed in the chest by Rick Grimes. Shot in the head by Carl Grimes. "",""Dead"",""	    """"Days Gone Bye"""" to """"Better Angels"""""",""Caucasian-American"""
"Leon Basset,""Linds Edwards"",""Male"",""Brown"",""Early 30s"",""Sheriff's Deputy "",""Unknown"",""""""Days Gone Bye"""""",""""""Bloodletting"""" "",""A"",""Bitten by a zombified Don or Patty Shot in the head by Rick Grimes. "",""Dead"",""	    """"Days Gone Bye"""""",""Caucasian-American"""
"Morgan Jones,""Lennie James"",""Male"",""Black"",""Mid to Late 40s"",""Former Soldier for the Kingdom Former Member of the Militia "",""Jenny Jones - Former Wife Duane Jones - Son "",""""""Days Gone Bye"""""",""""""What Comes After"""" "",""A"","""",""Unknown"",""	    """"Days Gone Bye"""" to """"Wrath"""" "",""African-American"""
"Jenny Jones,""Keisha Tillis"",""Female"",""Black"",""Mid to late 30s"",""Unknown"",""Morgan Jones - Former HusbandDuane Jones - Son "",""""""Days Gone Bye"""" "",""""""Bury Me Here"""" "",""A"",""Fever from infection. Shot in the head by Morgan Jones. "",""Dead"","""",""African-American"""
